Is cuda available:  True
Is mps available:  False
Epoch 1/60, Train Loss: 6964726024320.02, Val Loss: 20719308190679.832
Epoch 2/60, Train Loss: 199002697918.1057, Val Loss: 589440741444.9225
Epoch 3/60, Train Loss: 2963.587159719873, Val Loss: 8825.253926685878
Epoch 4/60, Train Loss: 93.71193273524021, Val Loss: 281.57235201578294
Epoch 5/60, Train Loss: 17.150871520346783, Val Loss: 52.3798007813711
Epoch 6/60, Train Loss: 18.225450264646653, Val Loss: 54.04059255690802
Epoch 7/60, Train Loss: 15.03306060648979, Val Loss: 45.221360569908505
Epoch 8/60, Train Loss: 13.258138065642498, Val Loss: 40.56938879830496
Epoch 9/60, Train Loss: 13.424941268373043, Val Loss: 40.16264387161013
Epoch 10/60, Train Loss: 13.144803767508648, Val Loss: 39.35211270952981
Epoch 11/60, Train Loss: 12.681519820335064, Val Loss: 39.12943074059865
Epoch 12/60, Train Loss: 12.380321840022473, Val Loss: 38.66062738024999
Epoch 13/60, Train Loss: 12.394322567797722, Val Loss: 38.34747592986576
Epoch 14/60, Train Loss: 12.442859330075853, Val Loss: 38.55927686842661
Epoch 15/60, Train Loss: 12.41317305919972, Val Loss: 38.48578484853109
Epoch 16/60, Train Loss: 12.304754272420356, Val Loss: 38.40129579816546
Epoch 17/60, Train Loss: 12.240956324212094, Val Loss: 38.272489335801865
Epoch 18/60, Train Loss: 12.387316440014128, Val Loss: 38.61301013401577
Epoch 19/60, Train Loss: 12.360455954328497, Val Loss: 38.2633706501552
Epoch 20/60, Train Loss: 33.147691769802826, Val Loss: 102.90123573182122
Epoch 21/60, Train Loss: 12.437686932847855, Val Loss: 38.470262709118074
Epoch 22/60, Train Loss: 12.266398790034842, Val Loss: 38.52971550774953
Epoch 23/60, Train Loss: 12.193215613669537, Val Loss: 38.485027176993235
Epoch 24/60, Train Loss: 12.12915008118812, Val Loss: 38.14065565381731
Epoch 25/60, Train Loss: 12.151819721181342, Val Loss: 38.367955465165394
Epoch 26/60, Train Loss: 12.177814681479271, Val Loss: 38.53480254279243
Epoch 27/60, Train Loss: 12.185641123893413, Val Loss: 38.273390482342435
Epoch 28/60, Train Loss: 12.21895686616289, Val Loss: 38.339331036522275
Epoch 29/60, Train Loss: 12.155519767010466, Val Loss: 38.560777073814755
Epoch 30/60, Train Loss: 12.131057731648708, Val Loss: 38.30808067321777
Epoch 31/60, Train Loss: 12.133687762503929, Val Loss: 38.32798748924618
Epoch 32/60, Train Loss: 12.208757397976328, Val Loss: 38.63451314350915
Epoch 33/60, Train Loss: 12.082912975169243, Val Loss: 38.204619998023624
Epoch 34/60, Train Loss: 12.117450891657079, Val Loss: 38.25877671014695
Epoch 35/60, Train Loss: 11.693742665838688, Val Loss: 36.34729450468033
Epoch 36/60, Train Loss: 9.40504867726184, Val Loss: 28.19809685056172
Epoch 37/60, Train Loss: 7.506845187633596, Val Loss: 24.972412222907657
Epoch 38/60, Train Loss: 6.756560287577041, Val Loss: 22.670381879049636
Epoch 39/60, Train Loss: 6.092553789311267, Val Loss: 21.035484654562815
Epoch 40/60, Train Loss: 5.99207463923921, Val Loss: 19.98736724399385
Epoch 41/60, Train Loss: 9.764469319201531, Val Loss: 29.98039722442627
Epoch 42/60, Train Loss: 6.277300986837833, Val Loss: 19.765572055937753
Epoch 43/60, Train Loss: 5.531734826716971, Val Loss: 16.54093673494127
Epoch 44/60, Train Loss: 4.584337033489917, Val Loss: 13.643616044332111
Epoch 45/60, Train Loss: 3.564598804458659, Val Loss: 9.744392561534095
Epoch 46/60, Train Loss: 2. 5300531308067606, Val Loss: 6.429339045570011
Epoch 47/60, Train Loss: 2.0372382992125573, Val Loss: 4.513127738521213
Epoch 48/60, Train Loss: 1.7885294071537383, Val Loss: 3.5436709404937803
Epoch 49/60, Train Loss: 1.508328286415719, Val Loss: 2.520097462430833
Epoch 50/60, Train Loss: 1.473896654996466, Val Loss: 2.7259541693187894
Epoch 51/60, Train Loss: 1.3696440716690206, Val Loss: 2.0319640068780807
Epoch 52/60, Train Loss: 1.3764160876261426, Val Loss: 2.2564235556693304
Epoch 53/60, Train Loss: 1.3230938916193677, Val Loss: 2.551945734591711
Epoch 54/60, Train Loss: 1.2069798874411177, Val Loss: 2.3246980011463165
Epoch 55/60, Train Loss: 1.090715582700486, Val Loss: 2.1252798239390054
Epoch 56/60, Train Loss: 1.0716054199382345, Val Loss: 2.166492526966428
Epoch 57/60, Train Loss: 1.0788719558969457, Val Loss: 2.2500092902826885
Epoch 58/60, Train Loss: 1.0845308488512293, Val Loss: 2.0527557602950504
Epoch 59/60, Train Loss: 0.9619602431800771, Val Loss: 1.7913985124656133
Epoch 60/60, Train Loss: 0.9185011408271941, Val Loss: 1.9127054115136464
Loss of the network on the test images: 1.011514432373501
R^2 score of the network on the test images: 0.9146593809127808
