Is cuda available:  True
Is mps available:  False
Epoch 1/60, Train Loss: 114406329111531.78, Val Loss: 341374445735942.06
Epoch 2/60, Train Loss: 24.102477870088943, Val Loss: 70.04588762919109
Epoch 3/60, Train Loss: 16.727606859612973, Val Loss: 50.01913706461588
Epoch 4/60, Train Loss: 14.306450519155948, Val Loss: 41.44457791343568
Epoch 5/60, Train Loss: 14.015317894042806, Val Loss: 41.950713051689995
Epoch 6/60, Train Loss: 13.820214324809136, Val Loss: 41.62582317231193
Epoch 7/60, Train Loss: 12.907343014757684, Val Loss: 38.74304059952024
Epoch 8/60, Train Loss: 12.633225461269946, Val Loss: 38.245712931194
Epoch 9/60, Train Loss: 12.588288728227006, Val Loss: 38.43846448262533
Epoch 10/60, Train Loss: 12.723864948495905, Val Loss: 39.52959666176448
Epoch 11/60, Train Loss: 12.441442882761041, Val Loss: 38.311097720312695
Epoch 12/60, Train Loss: 12.500665142181072, Val Loss: 38.318741889227006
Epoch 13/60, Train Loss: 12.36517609433925, Val Loss: 37.9957847443838
Epoch 14/60, Train Loss: 12.197903227298818, Val Loss: 37.847506523132324
Epoch 15/60, Train Loss: 12.139491093919633, Val Loss: 37.48285582708934
Epoch 16/60, Train Loss: 11.934876302455335, Val Loss: 37.14497843242827
Epoch 17/60, Train Loss: 10.685544277759309, Val Loss: 33.53770489162869
Epoch 18/60, Train Loss: 8.802851481640593, Val Loss: 27.29129559653146
Epoch 19/60, Train Loss: 7.587668789193986, Val Loss: 23.103924948071676
Epoch 20/60, Train Loss: 6.897099758716339, Val Loss: 20.984134674072266
Epoch 21/60, Train Loss: 6.7562320777710445, Val Loss: 20.160684101165288
Epoch 22/60, Train Loss: 6.390719459411946, Val Loss: 19.169176570952885
Epoch 23/60, Train Loss: 6.0158757542042025, Val Loss: 17.43116231191726
Epoch 24/60, Train Loss: 5.921166938670138, Val Loss: 17.459203379494802
Epoch 25/60, Train Loss: 5.574881893523196, Val Loss: 16.880355812254408
Epoch 26/60, Train Loss: 5.452442330248813, Val Loss: 15.516818220653231
Epoch 27/60, Train Loss: 5.335339046539144, Val Loss: 15.716805836511037
Epoch 28/60, Train Loss: 5.176517816300088, Val Loss: 15.375245737651039
Epoch 29/60, Train Loss: 5.276064031935753, Val Loss: 15.402724250914558
Epoch 30/60, Train Loss: 5.0974785368493265, Val Loss: 14.887104814014737
Epoch 31/60, Train Loss: 5.136741349037657, Val Loss: 15.391040472757249
Epoch 32/60, Train Loss: 4.733852612211349, Val Loss: 14.274969925956121
Epoch 33/60, Train Loss: 4.57292762462129, Val Loss: 14.07204768771217
Epoch 34/60, Train Loss: 3.904279779246513, Val Loss: 12.54649157372732
Epoch 35/60, Train Loss: 3.24354979586094, Val Loss: 9.258810327166604
Epoch 36/60, Train Loss: 2.494900683139233, Val Loss: 5.462385381024982
Epoch 37/60, Train Loss: 2.300256516388122, Val Loss: 4.567649832793644
Epoch 38/60, Train Loss: 2.0974382923004473, Val Loss: 4.088284674617979
Epoch 39/60, Train Loss: 1.9049209302410166, Val Loss: 2.9431418743398456
Epoch 40/60, Train Loss: 1.820037807714432, Val Loss: 2.6658036533802276
Epoch 41/60, Train Loss: 1.747023881432858, Val Loss: 2.3465727875157008
Epoch 42/60, Train Loss: 1.6298057934705248, Val Loss: 2.314225667998904
Epoch 43/60, Train Loss: 1.6534512493204563, Val Loss: 2.1677147003393324
Epoch 44/60, Train Loss: 1.580399108376909, Val Loss: 2.142037222309718
Epoch 45/60, Train Loss: 1.5320199870682778, Val Loss: 2.0008744815039257
Epoch 46/60, Train Loss: 1.4283005644349343, Val Loss: 1.8337398658669184
Epoch 47/60, Train Loss: 1.5761639436191701, Val Loss: 2.270703991254171
Epoch 48/60, Train Loss: 1.484740157235176, Val Loss: 1.788268338120173
Epoch 49/60, Train Loss: 1.39002363225247, Val Loss: 1.6983635004550692
Epoch 50/60, Train Loss: 1.3348654383357534, Val Loss: 1.5340888403237811
Epoch 51/60, Train Loss: 1.3003314280129494, Val Loss: 1.5139517637472304
Epoch 52/60, Train Loss: 1.431690921174719, Val Loss: 1.8131315088461315
Epoch 53/60, Train Loss: 1.3904169274771467, Val Loss: 1.746591961809567
Epoch 54/60, Train Loss: 1.4917008069918511, Val Loss: 1.7634115940521633
Epoch 55/60, Train Loss: 1.3040119176532359, Val Loss: 1.4781524910340234
Epoch 56/60, Train Loss: 1.3829500163172155, Val Loss: 1.6760854581518778
Epoch 57/60, Train Loss: 1.3831608718697062, Val Loss: 1.6915865531043401
Epoch 58/60, Train Loss: 1.1721059628465074, Val Loss: 1.3661650698336343
Epoch 59/60, Train Loss: 1.2001967672654923, Val Loss: 1.569314634752652
Epoch 60/60, Train Loss: 1.2430073490485232, Val Loss: 1.507292650048695
Loss of the network on the test images: 1.2252564203171503
R^2 score of the network on the test images: 0.8968976736068726
