Is cuda available:  True
Is mps available:  False
Epoch 1/60, Train Loss: 48759950.463835664, Val Loss: 145732233.4913046
Epoch 2/60, Train Loss: 16.40382020270571, Val Loss: 48.251305807204474
Epoch 3/60, Train Loss: 21.037541742020466, Val Loss: 60.584810514298695
Epoch 4/60, Train Loss: 16.62862789377253, Val Loss: 49.58449017055451
Epoch 5/60, Train Loss: 13.986453195835681, Val Loss: 42.5662112765842
Epoch 6/60, Train Loss: 13.38350432223462, Val Loss: 41.097344761803036
Epoch 7/60, Train Loss: 13.50160851377122, Val Loss: 41.233488642980184
Epoch 8/60, Train Loss: 12.75663567096629, Val Loss: 40.48862984066918
Epoch 9/60, Train Loss: 12.410230271359707, Val Loss: 39.27712299710228
Epoch 10/60, Train Loss: 12.21526037378514, Val Loss: 39.2625482952784
Epoch 11/60, Train Loss: 12.234491820031025, Val Loss: 39.380619124760706
Epoch 12/60, Train Loss: 11.97165833635533, Val Loss: 39.170496683272106
Epoch 13/60, Train Loss: 12.062047027527019, Val Loss: 39.30486639719161
Epoch 14/60, Train Loss: 12.00205749907392, Val Loss: 39.232415607997346
Epoch 15/60, Train Loss: 11.936873301546624, Val Loss: 39.25444151863219
Epoch 16/60, Train Loss: 11.901797051125385, Val Loss: 39.09508685460166
Epoch 17/60, Train Loss: 11.908517517942064, Val Loss: 39.249749471270846
Epoch 18/60, Train Loss: 12.051971420328668, Val Loss: 39.531089525374156
Epoch 19/60, Train Loss: 11.897896660135148, Val Loss: 39.086503906855505
Epoch 20/60, Train Loss: 11.855145241351838, Val Loss: 38.966782812088255
Epoch 21/60, Train Loss: 11.937135665974719, Val Loss: 39.23261203463115
Epoch 22/60, Train Loss: 11.917042564838491, Val Loss: 39.212975925869415
Epoch 23/60, Train Loss: 11.931827068328857, Val Loss: 39.23367306542775
Epoch 24/60, Train Loss: 11.863242638872025, Val Loss: 38.99444575536819
Epoch 25/60, Train Loss: 11.88045034510024, Val Loss: 39.20628535558307
Epoch 26/60, Train Loss: 11.986277813607074, Val Loss: 39.51302159021771
Epoch 27/60, Train Loss: 11.88950123178198, Val Loss: 39.083307296510725
Epoch 28/60, Train Loss: 11.934959208711664, Val Loss: 39.051595793830025
Epoch 29/60, Train Loss: 11.975073144790974, Val Loss: 39.27368138328431
Epoch 30/60, Train Loss: 11.8825006434258, Val Loss: 39.257363349672346
Epoch 31/60, Train Loss: 11.907503389297649, Val Loss: 39.128187936449805
Epoch 32/60, Train Loss: 11.886813990613247, Val Loss: 39.09624469091022
Epoch 33/60, Train Loss: 11.937470545160009, Val Loss: 39.14939822847881
Epoch 34/60, Train Loss: 11.878526312239627, Val Loss: 38.98283569396488
Epoch 35/60, Train Loss: 12.260931529897325, Val Loss: 39.96134091937353
Epoch 36/60, Train Loss: 11.928238437530842, Val Loss: 39.17084751431904
Epoch 37/60, Train Loss: 11.882745339515361, Val Loss: 39.10131693643237
Epoch 38/60, Train Loss: 11.913529048574732, Val Loss: 38.99862714797732
Epoch 39/60, Train Loss: 11.89767776905222, Val Loss: 39.0887706696041
Epoch 40/60, Train Loss: 11.843596453362323, Val Loss: 38.97983399648515
Epoch 41/60, Train Loss: 11.919495996008528, Val Loss: 39.10556110503182
Epoch 42/60, Train Loss: 11.871410202472768, Val Loss: 38.95157945723761
Epoch 43/60, Train Loss: 11.880656036924808, Val Loss: 38.97873032282269
Epoch 44/60, Train Loss: 11.893168000464744, Val Loss: 38.96351379818387
Epoch 45/60, Train Loss: 11.909506457917233, Val Loss: 39.05674033694797
Epoch 46/60, Train Loss: 11.92098414644282, Val Loss: 39.04202256883894
Epoch 47/60, Train Loss: 15.462458691698439, Val Loss: 49.677849845280726
Epoch 48/60, Train Loss: 11.857332823124338, Val Loss: 39.00148897322397
Epoch 49/60, Train Loss: 10.809308949937211, Val Loss: 37.32274695805141
Epoch 50/60, Train Loss: 10.081599930499463, Val Loss: 34.93705744970413
Epoch 51/60, Train Loss: 7.952931648873268, Val Loss: 26.05347026340545
Epoch 52/60, Train Loss: 5.809084443335838, Val Loss: 17.123584505111452
Epoch 53/60, Train Loss: 4.954970328097648, Val Loss: 14.41920256614685
Epoch 54/60, Train Loss: 4.832028990730326, Val Loss: 13.605685041064309
Epoch 55/60, Train Loss: 5.0110937610585635, Val Loss: 14.137707036639016
Epoch 56/60, Train Loss: 4.4298518477602205, Val Loss: 12.511417301874312
Epoch 57/60, Train Loss: 4.432776891804756, Val Loss: 12.255749365640066
Epoch 58/60, Train Loss: 4.238260338915155, Val Loss: 12.023671403763787
Epoch 59/60, Train Loss: 4.576769752705351, Val Loss: 13.032034374418712
Epoch 60/60, Train Loss: 4.0918640887483635, Val Loss: 11.664403915405273
Loss of the network on the test images: 3.7249831377513827
R^2 score of the network on the test images: 0.6780455112457275
