Data loader train loader:  200 799
Image spatial dimensions:  torch.Size([4, 1, 64, 64, 64])
Number of input channels:  1
Spatial dims:  3
GPU:  cuda:0
Number of training images: 799
Epoch 1/100, Train Loss: 33.23470134019852, Val Loss: 84.75294647216796, R^2 Score: -1.5191264152526855, P-value: 1.0
Model saved at c:\Datalogi\Bachelor\XAI-in-Medical-Image-Analysis\src\models\medical_models\saved_models\MonaiMedicalResNet_18_799_height_torch.Size([4, 1, 64, 64, 64])_epoch_1_val_84.75_r2_0.pth
Epoch 2/100, Train Loss: 15.2217045712471, Val Loss: 17.72797727870941, R^2 Score: 0.4730682969093323, P-value: 1.1102230246251565e-16
Model saved at c:\Datalogi\Bachelor\XAI-in-Medical-Image-Analysis\src\models\medical_models\saved_models\MonaiMedicalResNet_18_799_height_torch.Size([4, 1, 64, 64, 64])_epoch_2_val_17.73_r2_0.47.pth
Epoch 3/100, Train Loss: 12.89214106798172, Val Loss: 7.430000653505325, R^2 Score: 0.7791568040847778, P-value: 1.1102230246251565e-16
Model saved at c:\Datalogi\Bachelor\XAI-in-Medical-Image-Analysis\src\models\medical_models\saved_models\MonaiMedicalResNet_18_799_height_torch.Size([4, 1, 64, 64, 64])_epoch_3_val_7.43_r2_0.78.pth
Epoch 4/100, Train Loss: 11.867620416283607, Val Loss: 7.392631608486176, R^2 Score: 0.7802675366401672, P-value: 1.1102230246251565e-16
Model saved at c:\Datalogi\Bachelor\XAI-in-Medical-Image-Analysis\src\models\medical_models\saved_models\MonaiMedicalResNet_18_799_height_torch.Size([4, 1, 64, 64, 64])_epoch_4_val_7.39_r2_0.78.pth
Epoch 5/100, Train Loss: 10.365448404848575, Val Loss: 66.02211573791504, R^2 Score: -0.962386965751648, P-value: 1.0
Model saved at c:\Datalogi\Bachelor\XAI-in-Medical-Image-Analysis\src\models\medical_models\saved_models\MonaiMedicalResNet_18_799_height_torch.Size([4, 1, 64, 64, 64])_epoch_5_val_66.02_r2_0.78.pth
Epoch 6/100, Train Loss: 10.829708078354598, Val Loss: 15.252258171081543, R^2 Score: 0.546654462814331, P-value: 1.1102230246251565e-16
Model saved at c:\Datalogi\Bachelor\XAI-in-Medical-Image-Analysis\src\models\medical_models\saved_models\MonaiMedicalResNet_18_799_height_torch.Size([4, 1, 64, 64, 64])_epoch_6_val_15.25_r2_0.78.pth
Epoch 7/100, Train Loss: 9.301541539430618, Val Loss: 25.79737870502472, R^2 Score: 0.23321980237960815, P-value: 1.1102230246251565e-16
Epoch 8/100, Train Loss: 9.769473266601562, Val Loss: 10.638367587566377, R^2 Score: 0.6837939023971558, P-value: 1.1102230246251565e-16
Model saved at c:\Datalogi\Bachelor\XAI-in-Medical-Image-Analysis\src\models\medical_models\saved_models\MonaiMedicalResNet_18_799_height_torch.Size([4, 1, 64, 64, 64])_epoch_8_val_10.64_r2_0.78.pth
Epoch 9/100, Train Loss: 8.383076163381338, Val Loss: 3.7567170416712763, R^2 Score: 0.8883384466171265, P-value: 1.1102230246251565e-16
Model saved at c:\Datalogi\Bachelor\XAI-in-Medical-Image-Analysis\src\models\medical_models\saved_models\MonaiMedicalResNet_18_799_height_torch.Size([4, 1, 64, 64, 64])_epoch_9_val_3.76_r2_0.89.pth
Epoch 10/100, Train Loss: 6.744234899431467, Val Loss: 5.096406554579735, R^2 Score: 0.8485186100006104, P-value: 1.1102230246251565e-16
