Is cuda available:  True
Is mps available:  False
Epoch 1/80, Train Loss: 1022528596411004.2, Val Loss: 3009844661058473.5
Epoch 2/80, Train Loss: 791168.3730160327, Val Loss: 2333704.6144428253
Epoch 3/80, Train Loss: 25816.309883929312, Val Loss: 75643.84011292458
Epoch 4/80, Train Loss: 4741.814628438747, Val Loss: 13572.087054252625
Epoch 5/80, Train Loss: 472.15753741974527, Val Loss: 1236.4080576896667
Epoch 6/80, Train Loss: 241.73388355336292, Val Loss: 563.7077269554138
Epoch 7/80, Train Loss: 1063.7079294082966, Val Loss: 2978.7683300971985
Epoch 8/80, Train Loss: 240.65590075229076, Val Loss: 558.3552250862122
Epoch 9/80, Train Loss: 212.7800318941157, Val Loss: 471.43388986587524
Epoch 10/80, Train Loss: 197.18393861486555, Val Loss: 455.5339388847351
Epoch 11/80, Train Loss: 191.83320560861142, Val Loss: 445.6133141517639
Epoch 12/80, Train Loss: 188.40594587934777, Val Loss: 443.35136222839355
Epoch 13/80, Train Loss: 183.04985143783244, Val Loss: 446.3445973396301
Epoch 14/80, Train Loss: 179.29468341583902, Val Loss: 440.12318563461304
Epoch 15/80, Train Loss: 185.3936444546314, Val Loss: 432.0036778450012
Epoch 16/80, Train Loss: 193.31617826096556, Val Loss: 467.3596158027649
Epoch 17/80, Train Loss: 178.98941040039062, Val Loss: 419.16058588027954
Epoch 18/80, Train Loss: 168.06368474757417, Val Loss: 409.33586621284485
Epoch 19/80, Train Loss: 152.5664213464615, Val Loss: 343.5673358440399
Epoch 20/80, Train Loss: 118.00329946964345, Val Loss: 226.24968218803406
Epoch 21/80, Train Loss: 147.2857420089397, Val Loss: 294.91845524311066
Epoch 22/80, Train Loss: 109.57968993897134, Val Loss: 193.9601435661316
Epoch 23/80, Train Loss: 100.19409975092462, Val Loss: 167.3403022289276
Epoch 24/80, Train Loss: 105.92743922294454, Val Loss: 183.9014469385147
Epoch 25/80, Train Loss: 100.87194292596045, Val Loss: 170.5470426082611
Epoch 26/80, Train Loss: 98.65945262097298, Val Loss: 160.84264302253723
Epoch 27/80, Train Loss: 100.29065751014872, Val Loss: 166.80154764652252
Epoch 28/80, Train Loss: 108.91208758252732, Val Loss: 197.67178118228912
Epoch 29/80, Train Loss: 94.93512153625488, Val Loss: 153.08628928661346
Epoch 30/80, Train Loss: 90.6637454337262, Val Loss: 152.07552433013916
Epoch 31/80, Train Loss: 89.49856839281448, Val Loss: 147.68088495731354
Epoch 32/80, Train Loss: 95.5034665858492, Val Loss: 164.07384049892426
Epoch 33/80, Train Loss: 89.15743576212132, Val Loss: 153.04326033592224
Epoch 34/80, Train Loss: 93.21652802000655, Val Loss: 155.024094581604
Epoch 35/80, Train Loss: 87.96558201566656, Val Loss: 156.23215699195862
Epoch 36/80, Train Loss: 96.37070694375545, Val Loss: 170.23416602611542
Epoch 37/80, Train Loss: 89.58842013744598, Val Loss: 151.26555931568146
Epoch 38/80, Train Loss: 229.3423906691531, Val Loss: 547.3595896959305
Epoch 39/80, Train Loss: 108.74498927339594, Val Loss: 219.72665905952454
Epoch 40/80, Train Loss: 91.12814477149476, Val Loss: 163.28950691223145
Epoch 41/80, Train Loss: 86.93037664129379, Val Loss: 147.38002467155457
Epoch 42/80, Train Loss: 82.64920581655299, Val Loss: 145.33693706989288
Epoch 43/80, Train Loss: 94.93109013171906, Val Loss: 165.01140916347504
Epoch 44/80, Train Loss: 83.27610230953135, Val Loss: 148.7092092037201
Epoch 45/80, Train Loss: 88.67470323278549, Val Loss: 150.35364997386932
Epoch 46/80, Train Loss: 88.72014930400442, Val Loss: 155.44614326953888
Epoch 47/80, Train Loss: 84.88120943434696, Val Loss: 149.59282636642456
Epoch 48/80, Train Loss: 139.88478153309924, Val Loss: 297.27771496772766
Epoch 49/80, Train Loss: 100.57101209112939, Val Loss: 173.53516399860382
Epoch 50/80, Train Loss: 98.43836354194804, Val Loss: 173.8921377658844
Epoch 51/80, Train Loss: 89.9151934359936, Val Loss: 155.90270125865936
Epoch 52/80, Train Loss: 89.65386423151544, Val Loss: 156.56836080551147
Epoch 53/80, Train Loss: 96.13687007985216, Val Loss: 173.831196308136
Epoch 54/80, Train Loss: 88.10815823331792, Val Loss: 155.440256357193
Epoch 55/80, Train Loss: 90.28868374925979, Val Loss: 161.3750400543213
Epoch 56/80, Train Loss: 88.27254157370709, Val Loss: 159.61655735969543
Epoch 57/80, Train Loss: 87.0054677192201, Val Loss: 158.23397421836853
Epoch 58/80, Train Loss: 87.90470687379228, Val Loss: 154.7243105173111
Epoch 59/80, Train Loss: 90.12308473789946, Val Loss: 159.683220744133
Epoch 60/80, Train Loss: 84.75201237455327, Val Loss: 156.88093185424805
Epoch 61/80, Train Loss: 87.07335942856808, Val Loss: 157.17526042461395
Epoch 62/80, Train Loss: 84.45812708266239, Val Loss: 151.86232697963715
Epoch 63/80, Train Loss: 89.44317578254862, Val Loss: 166.90811121463776
Epoch 64/80, Train Loss: 80.53453628053056, Val Loss: 145.64637100696564
Epoch 65/80, Train Loss: 82.59531729272071, Val Loss: 153.53935146331787
Epoch 66/80, Train Loss: 90.2624254429594, Val Loss: 178.72284626960754
Epoch 67/80, Train Loss: 60.22114256595044, Val Loss: 131.58687525987625
Epoch 68/80, Train Loss: 40.97412750568796, Val Loss: 92.9303549528122
Epoch 69/80, Train Loss: 23.78713326758527, Val Loss: 62.034268498420715
Epoch 70/80, Train Loss: 21.279127034735172, Val Loss: 52.21723511815071
Epoch 71/80, Train Loss: 17.33374799566066, Val Loss: 37.0652217566967
Epoch 72/80, Train Loss: 13.562834257775165, Val Loss: 30.007962599396706
Epoch 73/80, Train Loss: 11.281758402256255, Val Loss: 19.243947826325893
Epoch 74/80, Train Loss: 9.44581009098824, Val Loss: 20.44984108954668
Epoch 75/80, Train Loss: 9.3949209641903, Val Loss: 18.44491644948721
Epoch 76/80, Train Loss: 7.344516226585875, Val Loss: 12.083448894321918
Epoch 77/80, Train Loss: 7.7390053322974675, Val Loss: 13.551536165177822
Epoch 78/80, Train Loss: 6.1160794978446145, Val Loss: 12.249621171504259
Epoch 79/80, Train Loss: 5.870157815040426, Val Loss: 9.4165931455791
Epoch 80/80, Train Loss: 6.266300465832365, Val Loss: 10.12514877319336
Loss of the network on the test images: 3.049619123339653
R^2 score of the network on the test images: 0.9848024249076843

0.9894216656684875
