Is cuda available:  True
Is mps available:  False
Epoch 1/60, Train Loss: 2.5551869726145444e+16, Val Loss: 6.924414046095248e+16
Epoch 2/60, Train Loss: 37314387441.61739, Val Loss: 116122424891.71948
Epoch 3/60, Train Loss: 815328753.2238382, Val Loss: 2368981761.22243
Epoch 4/60, Train Loss: 3696897861.0788255, Val Loss: 10585911222.57441
Epoch 5/60, Train Loss: 143.83451126991434, Val Loss: 371.26222720742226
Epoch 6/60, Train Loss: 19.60183287681417, Val Loss: 53.638995587825775
Epoch 7/60, Train Loss: 16.236033196144916, Val Loss: 40.48261505365372
Epoch 8/60, Train Loss: 15.870842431453948, Val Loss: 39.999529272317886
Epoch 9/60, Train Loss: 16.579533384201376, Val Loss: 41.70644474029541
Epoch 10/60, Train Loss: 15.194580473798387, Val Loss: 36.39657098054886
Epoch 11/60, Train Loss: 15.237162519008555, Val Loss: 37.38242071866989
Epoch 12/60, Train Loss: 14.746111509647776, Val Loss: 35.937953799963
Epoch 13/60, Train Loss: 15.396487088913613, Val Loss: 38.56289806962013
Epoch 14/60, Train Loss: 14.703598550025452, Val Loss: 35.66634351015091
Epoch 15/60, Train Loss: 15.199360624272773, Val Loss: 37.26947033405304
Epoch 16/60, Train Loss: 14.702674794704356, Val Loss: 35.467232912778854
Epoch 17/60, Train Loss: 14.351276884687708, Val Loss: 34.71088019013405
Epoch 18/60, Train Loss: 14.283606716927062, Val Loss: 34.454190999269485
Epoch 19/60, Train Loss: 14.529351980128187, Val Loss: 36.18385362625122
Epoch 20/60, Train Loss: 13.417007578180192, Val Loss: 34.21116390824318
Epoch 21/60, Train Loss: 14.853341685964706, Val Loss: 35.87143063545227
Epoch 22/60, Train Loss: 14.649588762445653, Val Loss: 34.94464415311813
Epoch 23/60, Train Loss: 14.126392684084303, Val Loss: 33.26604110002518
Epoch 24/60, Train Loss: 13.892507345118421, Val Loss: 33.65594074130058
Epoch 25/60, Train Loss: 14.08292199702973, Val Loss: 34.99477034807205
Epoch 26/60, Train Loss: 13.996926226514452, Val Loss: 34.52422916889191
Epoch 27/60, Train Loss: 14.268275113815957, Val Loss: 35.7539766728878
Epoch 28/60, Train Loss: 14.147528420103358, Val Loss: 35.85897472500801
Epoch 29/60, Train Loss: 13.813989654500434, Val Loss: 32.73952403664589
Epoch 30/60, Train Loss: 14.839690766435988, Val Loss: 36.41462063789368
Epoch 31/60, Train Loss: 13.245981201212457, Val Loss: 33.595831483602524
Epoch 32/60, Train Loss: 13.509195332831524, Val Loss: 33.69340682029724
Epoch 33/60, Train Loss: 13.341785796145176, Val Loss: 32.690174371004105
Epoch 34/60, Train Loss: 13.42538029082278, Val Loss: 32.604180961847305
Epoch 35/60, Train Loss: 13.991986482701403, Val Loss: 33.73332521319389
Epoch 36/60, Train Loss: 13.157024627036236, Val Loss: 32.12471431493759
Epoch 37/60, Train Loss: 12.835724221899154, Val Loss: 31.11402404308319
Epoch 38/60, Train Loss: 13.8018055215795, Val Loss: 33.422779470682144
Epoch 39/60, Train Loss: 12.938747106714452, Val Loss: 30.891516357660294
Epoch 40/60, Train Loss: 12.166657584778806, Val Loss: 28.689488366246223
Epoch 41/60, Train Loss: 11.193938534310524, Val Loss: 27.920222282409668
Epoch 42/60, Train Loss: 10.810326297232445, Val Loss: 27.737287685275078
Epoch 43/60, Train Loss: 9.49622333303411, Val Loss: 21.620759084820747
Epoch 44/60, Train Loss: 10.393774484066252, Val Loss: 25.092990711331367
Epoch 45/60, Train Loss: 8.421791835034147, Val Loss: 19.42666271328926
Epoch 46/60, Train Loss: 8.772181772171184, Val Loss: 20.535849690437317
Epoch 47/60, Train Loss: 8.742485289878033, Val Loss: 20.663687333464622
Epoch 48/60, Train Loss: 7.6970248323805786, Val Loss: 18.08270487189293
Epoch 49/60, Train Loss: 6.806875982183091, Val Loss: 15.6491689234972
Epoch 50/60, Train Loss: 6.921392017222465, Val Loss: 15.86716664582491
Epoch 51/60, Train Loss: 6.744509075550323, Val Loss: 15.156468376517296
Epoch 52/60, Train Loss: 5.554289626314285, Val Loss: 12.322208508849144
Epoch 53/60, Train Loss: 5.472424292818029, Val Loss: 12.218123361468315
Epoch 54/60, Train Loss: 6.100886890228758, Val Loss: 13.331860810518265
Epoch 55/60, Train Loss: 4.790930178571255, Val Loss: 10.26458615064621
Epoch 56/60, Train Loss: 5.092309988559561, Val Loss: 10.695807009935379
Epoch 57/60, Train Loss: 5.752085816352926, Val Loss: 12.925237230956554
Epoch 58/60, Train Loss: 15.059753281004886, Val Loss: 40.209167659282684
Epoch 59/60, Train Loss: 11.058606046311398, Val Loss: 27.970292896032333
Epoch 60/60, Train Loss: 11.342397522419057, Val Loss: 28.53229519724846
Loss of the network on the test images: 10.586452335119247
R^2 score of the network on the test images: 0.19609659910202026
