Epoch 1/100, Train Loss: 19.23703424358368, Val Loss: 10.665461897850037, R^2 Score: 0.6810665130615234
Model saved at /Users/mraabo/computer_science/year_3/bachelor/XAI-in-Medical-Image-Analysis/src/models/medical_models/saved_models/MedicalCombinedResNetModel_18_3999_height_torch.Size([32, 9, 256, 256])_epoch_1_val_10.67_r2_0.68.pth
Model saved at /Users/mraabo/computer_science/year_3/bachelor/XAI-in-Medical-Image-Analysis/src/models/medical_models/saved_models/MedicalCombinedResNetModel_18_3999_height_torch.Size([32, 9, 256, 256])_epoch_1_val_10.67_r2_0.68.pth
Epoch 2/100, Train Loss: 3.853008303642273, Val Loss: 4.688954561948776, R^2 Score: 0.8592592477798462
Model saved at /Users/mraabo/computer_science/year_3/bachelor/XAI-in-Medical-Image-Analysis/src/models/medical_models/saved_models/MedicalCombinedResNetModel_18_3999_height_torch.Size([32, 9, 256, 256])_epoch_2_val_4.69_r2_0.86.pth
Model saved at /Users/mraabo/computer_science/year_3/bachelor/XAI-in-Medical-Image-Analysis/src/models/medical_models/saved_models/MedicalCombinedResNetModel_18_3999_height_torch.Size([32, 9, 256, 256])_epoch_2_val_4.69_r2_0.86.pth
Epoch 3/100, Train Loss: 3.391660249710083, Val Loss: 2.548200413584709, R^2 Score: 0.9234485626220703
Model saved at /Users/mraabo/computer_science/year_3/bachelor/XAI-in-Medical-Image-Analysis/src/models/medical_models/saved_models/MedicalCombinedResNetModel_18_3999_height_torch.Size([32, 9, 256, 256])_epoch_3_val_2.55_r2_0.92.pth
Model saved at /Users/mraabo/computer_science/year_3/bachelor/XAI-in-Medical-Image-Analysis/src/models/medical_models/saved_models/MedicalCombinedResNetModel_18_3999_height_torch.Size([32, 9, 256, 256])_epoch_3_val_2.55_r2_0.92.pth
Epoch 4/100, Train Loss: 2.027282841682434, Val Loss: 1.627386912703514, R^2 Score: 0.950773298740387
Model saved at /Users/mraabo/computer_science/year_3/bachelor/XAI-in-Medical-Image-Analysis/src/models/medical_models/saved_models/MedicalCombinedResNetModel_18_3999_height_torch.Size([32, 9, 256, 256])_epoch_4_val_1.63_r2_0.95.pth
Model saved at /Users/mraabo/computer_science/year_3/bachelor/XAI-in-Medical-Image-Analysis/src/models/medical_models/saved_models/MedicalCombinedResNetModel_18_3999_height_torch.Size([32, 9, 256, 256])_epoch_4_val_1.63_r2_0.95.pth
Epoch 5/100, Train Loss: 1.5596654682159423, Val Loss: 1.3015090338885784, R^2 Score: 0.9606968760490417
Model saved at /Users/mraabo/computer_science/year_3/bachelor/XAI-in-Medical-Image-Analysis/src/models/medical_models/saved_models/MedicalCombinedResNetModel_18_3999_height_torch.Size([32, 9, 256, 256])_epoch_5_val_1.3_r2_0.96.pth
Model saved at /Users/mraabo/computer_science/year_3/bachelor/XAI-in-Medical-Image-Analysis/src/models/medical_models/saved_models/MedicalCombinedResNetModel_18_3999_height_torch.Size([32, 9, 256, 256])_epoch_5_val_1.3_r2_0.96.pth
Epoch 6/100, Train Loss: 1.3579326841831207, Val Loss: 2.591620095074177, R^2 Score: 0.9224324226379395
Epoch 7/100, Train Loss: 1.4729704782962798, Val Loss: 5.671975255012512, R^2 Score: 0.830202579498291
Epoch 8/100, Train Loss: 1.5839222161769866, Val Loss: 10.602109491825104, R^2 Score: 0.6819795370101929
Epoch 9/100, Train Loss: 1.3267022321224213, Val Loss: 1.3065143302083015, R^2 Score: 0.960750937461853
Model saved at /Users/mraabo/computer_science/year_3/bachelor/XAI-in-Medical-Image-Analysis/src/models/medical_models/saved_models/MedicalCombinedResNetModel_18_3999_height_torch.Size([32, 9, 256, 256])_epoch_9_val_1.31_r2_0.96.pth
Epoch 10/100, Train Loss: 1.0140125160217286, Val Loss: 1.0400067828595638, R^2 Score: 0.9685366749763489
Model saved at /Users/mraabo/computer_science/year_3/bachelor/XAI-in-Medical-Image-Analysis/src/models/medical_models/saved_models/MedicalCombinedResNetModel_18_3999_height_torch.Size([32, 9, 256, 256])_epoch_10_val_1.04_r2_0.97.pth
