Is cuda available:  True cuda
Number of training images: 7095
Epoch 1/150, Train Loss: 8.623961095337394, Val Loss: 11.303757633481707, R^2 Score: -0.2572958469390869
Model saved at c:\Datalogi\Bachelor\XAI-in-Medical-Image-Analysis\src\models\medical_models\saved_models\MedicalCombinedResNetModel_18_7095_height_384_epoch_1_val_11.3_r2_11.3.pth
Epoch 2/150, Train Loss: 8.092557389456946, Val Loss: 7.832737420286451, R^2 Score: 0.1321253776550293
Model saved at c:\Datalogi\Bachelor\XAI-in-Medical-Image-Analysis\src\models\medical_models\saved_models\MedicalCombinedResNetModel_18_7095_height_384_epoch_2_val_7.83_r2_7.83.pth
Epoch 3/150, Train Loss: 7.957930961170712, Val Loss: 10.158446635518755, R^2 Score: -0.12929463386535645
Epoch 4/150, Train Loss: 7.806952466835847, Val Loss: 7.9396070923124045, R^2 Score: 0.12114346027374268
Epoch 5/150, Train Loss: 7.622489802472226, Val Loss: 7.760336084025247, R^2 Score: 0.13842356204986572
Model saved at c:\Datalogi\Bachelor\XAI-in-Medical-Image-Analysis\src\models\medical_models\saved_models\MedicalCombinedResNetModel_18_7095_height_384_epoch_5_val_7.76_r2_7.76.pth
Epoch 6/150, Train Loss: 7.561342281264228, Val Loss: 8.35490723167147, R^2 Score: 0.07279258966445923
Epoch 7/150, Train Loss: 7.256949708268449, Val Loss: 7.877536586352757, R^2 Score: 0.12610399723052979
Epoch 8/150, Train Loss: 7.046153824608605, Val Loss: 8.654431172779628, R^2 Score: 0.040464043617248535
Epoch 9/150, Train Loss: 7.032359712832683, Val Loss: 7.495371665273394, R^2 Score: 0.16791397333145142
Model saved at c:\Datalogi\Bachelor\XAI-in-Medical-Image-Analysis\src\models\medical_models\saved_models\MedicalCombinedResNetModel_18_7095_height_384_epoch_9_val_7.5_r2_7.5.pth
Epoch 10/150, Train Loss: 6.581799129108051, Val Loss: 8.467515468597412, R^2 Score: 0.06185883283615112
Epoch 11/150, Train Loss: 6.308646038845852, Val Loss: 9.86814798627581, R^2 Score: -0.09440231323242188
Epoch 12/150, Train Loss: 5.83775638030456, Val Loss: 8.144926530974251, R^2 Score: 0.09642326831817627
Epoch 13/150, Train Loss: 5.073946784745465, Val Loss: 9.10940170288086, R^2 Score: -0.010580062866210938
Epoch 14/150, Train Loss: 4.232288634454882, Val Loss: 8.396687132971627, R^2 Score: 0.06621229648590088
Epoch 15/150, Train Loss: 3.029232294172854, Val Loss: 11.834424104009356, R^2 Score: -0.31163859367370605
Epoch 16/150, Train Loss: 2.281958951874896, Val Loss: 9.044822905744825, R^2 Score: -0.0033555030822753906
Epoch 17/150, Train Loss: 1.8761819474868946, Val Loss: 8.78551982130323, R^2 Score: 0.022646605968475342
Epoch 18/150, Train Loss: 1.500511321801323, Val Loss: 8.141604372433253, R^2 Score: 0.09636104106903076
Epoch 19/150, Train Loss: 1.2573737182595708, Val Loss: 8.334269668374743, R^2 Score: 0.07532161474227905
Epoch 20/150, Train Loss: 1.1609038213888805, Val Loss: 8.80778179849897, R^2 Score: 0.021881401538848877
Epoch 21/150, Train Loss: 1.1360080463660729, Val Loss: 8.44482182604926, R^2 Score: 0.06160956621170044
Epoch 22/150, Train Loss: 1.190051920107893, Val Loss: 8.229135240827288, R^2 Score: 0.08572924137115479
Epoch 23/150, Train Loss: 1.104906770425874, Val Loss: 8.41658273765019, R^2 Score: 0.06571751832962036
Epoch 24/150, Train Loss: 1.0074802037026431, Val Loss: 8.523552766868047, R^2 Score: 0.05421525239944458
Epoch 25/150, Train Loss: 1.0689515702359311, Val Loss: 8.482993807111468, R^2 Score: 0.057826995849609375
Epoch 26/150, Train Loss: 1.0719456357193422, Val Loss: 8.15097748381751, R^2 Score: 0.09469234943389893
Epoch 27/150, Train Loss: 0.989100376899178, Val Loss: 8.91961784022195, R^2 Score: 0.011302292346954346
Epoch 28/150, Train Loss: 0.9840501691844012, Val Loss: 8.461929610797338, R^2 Score: 0.05980253219604492
Epoch 29/150, Train Loss: 0.9364911009733742, Val Loss: 8.36742948634284, R^2 Score: 0.07131695747375488
Epoch 30/150, Train Loss: 0.9633597826904005, Val Loss: 8.43890676328114, R^2 Score: 0.0634082555770874
Epoch 31/150, Train Loss: 0.9930025138430767, Val Loss: 8.01271026475089, R^2 Score: 0.11159777641296387
Epoch 32/150, Train Loss: 0.8662443246927347, Val Loss: 8.021107631070274, R^2 Score: 0.11060488224029541
Epoch 33/150, Train Loss: 0.8709236391492792, Val Loss: 8.458559683391027, R^2 Score: 0.06154990196228027
Epoch 34/150, Train Loss: 0.8602178929088352, Val Loss: 8.153148293495178, R^2 Score: 0.09486055374145508
Epoch 35/150, Train Loss: 0.790897225071718, Val Loss: 8.501070610114507, R^2 Score: 0.055655837059020996
Epoch 36/150, Train Loss: 0.906639378484305, Val Loss: 8.291045563561577, R^2 Score: 0.07970643043518066
Epoch 37/150, Train Loss: 0.8464122015882183, Val Loss: 8.483283655984062, R^2 Score: 0.05849391222000122
Epoch 38/150, Train Loss: 0.8155616804420411, Val Loss: 8.212085647242409, R^2 Score: 0.08894127607345581
Epoch 39/150, Train Loss: 0.827045409193447, Val Loss: 8.218936817986625, R^2 Score: 0.08783102035522461
Epoch 40/150, Train Loss: 0.8032610178799242, Val Loss: 8.179460525512695, R^2 Score: 0.09188783168792725
Epoch 41/150, Train Loss: 0.7547232927502813, Val Loss: 8.243231330599103, R^2 Score: 0.08404529094696045
